Date,Transaction,Name,Memo,Amount
2/2/2026,DEBIT,TIM HORTONS #3921,COFFEE,-5.90
2/3/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
2/4/2026,DEBIT,LOBLAWS #1042,GROCERIES,-138.75
2/5/2026,DEBIT,SHELL GAS STATION,FUEL,-58.30
2/6/2026,DEBIT,NETFLIX.COM,MONTHLY SUBSCRIPTION,-17.99
2/7/2026,DEBIT,INTERAC e-Transfer TO LANDLORD,FEBRUARY RENT,-2200.00
2/9/2026,DEBIT,PRESTO TRANSIT,MONTHLY PASS,-156.00
2/10/2026,DEBIT,COSTCO WHOLESALE #441,GROCERIES,-195.20
2/11/2026,DEBIT,TIM HORTONS #3921,LUNCH,-10.85
2/12/2026,DEBIT,AMAZON.CA,BOOKS,-32.45
2/14/2026,DEBIT,SPOTIFY PREMIUM,MONTHLY SUBSCRIPTION,-11.99
2/15/2026,DEBIT,PETRO-CANADA,FUEL,-61.20
2/16/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
2/17/2026,DEBIT,SHOPPERS DRUG MART #2145,PERSONAL CARE,-18.50
2/18/2026,DEBIT,NO FRILLS #3312,GROCERIES,-105.30
2/19/2026,DEBIT,GOODLIFE FITNESS,GYM MEMBERSHIP,-55.00
2/20/2026,DEBIT,ROGERS WIRELESS,PHONE BILL,-85.00
2/21/2026,DEBIT,LCBO #423,,-36.75
2/22/2026,DEBIT,UBER EATS,DINNER DELIVERY,-29.80
2/23/2026,DEBIT,ENBRIDGE GAS,UTILITIES,-135.00
2/24/2026,DEBIT,HYDRO ONE,ELECTRICITY,-82.00
2/25/2026,CREDIT,INTERAC e-Transfer FROM ALEX CHEN,DINNER SPLIT,30.00
2/26/2026,DEBIT,TIM HORTONS #3921,COFFEE,-4.95
2/27/2026,DEBIT,CINEPLEX ENTERTAINMENT,MOVIE,-14.00
2/28/2026,DEBIT,DOLLARAMA #218,HOUSEHOLD,-12.30
